candidate_evaluations,seed_0,seed_1,seed_2,seed_3,seed_4
4784,47626,47040,46862,49034,44835
4800,47626,47040,46836,49027,44835
4816,47626,47040,46831,49027,44835
4832,47568,47030,46771,49027,44761
4848,47505,46838,46631,49027,44736
4864,47445,46826,46631,49017,44667
4880,47445,46826,46191,48933,44637
4896,47445,46812,46191,48933,44637
4912,47445,46550,46191,48933,44637
4928,47445,46550,46066,48917,44509
4944,47415,46550,46066,48917,44385
4960,47359,46550,46025,48885,44287
4976,47359,46490,46025,48775,44197
4992,47309,46490,46014,48775,44197
5008,47309,46490,45755,48549,44091
5024,47261,46478,45755,48549,43868
5040,47261,46240,45751,48485,43820
5056,47261,46158,45465,48231,43702
5072,47261,45963,45171,48117,43702
5088,47261,45963,45171,47999,43694
5104,47203,45963,44895,47969,43567
5120,47103,45957,44859,47955,43567
5136,47049,45743,44733,47931,43567
5152,47001,45599,44553,47925,43528
5168,46761,45401,44553,47831,43452
5184,46745,45303,44553,47783,43452
5200,46693,45303,44465,47459,43310
5216,46693,45294,44460,47283,43310
5232,46693,45248,44452,47283,43206
5248,46647,45248,44276,47283,43194
5264,46535,45150,44150,47059,43079
5280,46509,45150,43918,47059,43079
5296,46509,45108,43758,46967,43079
5312,46423,45094,43678,46910,43078
5328,46365,44986,43678,46752,43074
5344,46183,44865,43678,46752,42753
5360,46035,44787,43678,46732,42669
5376,46035,44787,43627,46649,42660
5392,46035,44697,43627,46639,42660
5408,45937,44697,43627,46394,42538
5424,45641,44617,43619,46394,42510
5440,45641,44617,43591,46393,42510
5456,45600,44463,43585,46327,42510
5472,45524,44427,43585,46327,42510
5488,45524,44341,43573,46327,42370
5504,45524,44341,43573,46327,42166
5520,45524,44314,43465,46054,42166
5536,45524,44271,43449,45982,42058
5552,45451,44115,43197,45982,42048
5568,45451,44104,43087,45848,41978
5584,45451,44104,43087,45828,41969
5600,45035,44063,43087,45828,41969
5616,45035,44063,43087,45738,41969
5632,45017,44017,42893,45410,41969
5648,45017,44017,42580,45410,41912
5664,44893,43984,42472,45410,41912
5680,44821,43984,42442,45251,41912
5696,44821,43894,42442,45251,41912
5712,44750,43804,42442,45043,41912
5728,44750,43508,42364,44947,41912
5744,44672,43508,42352,44947,41905
5760,44672,43476,42352,44636,41873
5776,44624,43476,42352,44559,41873
5792,44607,43308,42328,44559,41792
5808,44403,43308,42297,44559,41792
5824,44403,43280,42125,44559,41724
5840,44190,43262,42125,44547,41724
5856,44190,43113,42025,44534,41724
5872,43996,42905,42012,44516,41673
5888,43992,42846,42012,44494,41673
5904,43924,42846,42012,44326,41664
5920,43924,42846,41707,44326,41664
5936,43745,42712,41685,44326,41602
5952,43712,42510,41685,44160,41602
5968,43712,42510,41639,44124,41554
5984,43712,42504,41536,44045,41406
6000,43707,42504,41536,44045,41160
6016,43707,42500,41410,43925,41159
6032,43707,42353,41410,43925,41159
6048,43498,42151,41105,43925,41124
6064,43399,42033,41017,43883,41124
6080,43399,41989,41017,43721,41124
6096,43399,41893,40985,43721,40689
6112,43399,41893,40985,43707,40689
6128,43399,41893,40978,43523,40647
6144,43399,41827,40978,43479,40647
6160,43399,41761,40978,43479,40553
6176,43397,41741,40962,43479,40535
6192,43379,41669,40917,43339,40535
6208,43379,41669,40853,43339,40523
6224,43053,41637,40817,43339,40523
6240,43043,41637,40817,43271,40521
6256,43036,41625,40589,43113,40459
6272,42988,41625,40555,42982,40451
6288,42988,41541,40263,42982,40402
6304,42874,41534,40263,42972,40394
6320,42874,41516,40255,42972,40340
6336,42843,41506,40252,42972,40278
6352,42761,41506,40220,42962,40278
6368,42749,41482,40220,42962,40257
6384,42749,41482,40220,42962,40257
6400,42603,41482,40081,42919,40215
6416,42583,41482,40081,42919,40182
6432,42583,41482,40051,42819,40076
6448,42509,41468,40038,42709,40076
6464,42509,41468,39912,42631,40076
6480,42509,41332,39891,42508,40075
6496,42509,41332,39891,42488,40067
6512,42509,41265,39891,42488,40006
6528,42367,41265,39881,42206,40006
6544,42367,41265,39752,42198,40006
6560,42367,41265,39752,42106,40000
6576,42305,41259,39710,42106,40000
6592,42305,41259,39682,42106,39958
6608,42305,41207,39682,42106,39898
6624,42305,40973,39680,42082,39898
6640,42291,40973,39680,42074,39755
6656,42291,40973,39680,42074,39747
6672,42097,40959,39589,42052,39737
6688,42037,40959,39571,42052,39605
6704,42037,40902,39393,42052,39605
6720,42018,40818,39311,42052,39529
6736,42018,40818,39291,42052,39529
6752,42018,40818,39291,42052,39529
6768,42018,40818,39281,42052,39402
6784,41992,40710,39212,42038,39402
6800,41958,40655,38994,42038,39401
6816,41944,40655,38962,42038,39379
6832,41944,40645,38922,41986,39379
6848,41934,40629,38922,41986,39373
6864,41802,40629,38890,41986,39288
6880,41802,40629,38858,41880,39244
6896,41802,40629,38858,41739,39244
6912,41802,40629,38854,41633,39244
6928,41802,40629,38854,41629,39242
6944,41802,40601,38854,41629,39242
6960,41802,40601,38509,41629,39155
6976,41802,40601,38495,41629,39155
6992,41802,40582,38495,41597,39040
7008,41802,40582,38459,41581,38862
7024,41802,40563,38459,41535,38862
7040,41802,40563,38459,41523,38862
