candidate_evaluations,seed_0,seed_1,seed_2,seed_3,seed_4
3824,33292,35390,32696,36905,33771
3840,33176,35027,32672,36455,33749
3856,33110,34929,32677,36388,33598
3872,33120,34773,32648,36095,33528
3888,33243,34747,32709,36139,33185
3904,33447,35017,32563,35987,33055
3920,33423,35153,32511,36051,32879
3936,33429,35084,32418,36202,32884
3952,33160,34850,32362,36153,32661
3968,33053,34777,32418,35642,32693
3984,33050,34901,32229,35673,32771
4000,33052,34925,32209,35545,32308
4016,33117,34929,32144,35507,32503
4032,33076,34628,32289,35483,32381
4048,33034,34649,32505,35468,32244
4064,32980,34568,32126,35578,32162
4080,32898,34420,32324,35549,32066
4096,32917,34369,32350,35160,31893
4112,32874,34458,32385,35173,31823
4128,32801,34105,32459,34986,31790
4144,32828,33921,32423,35061,31629
4160,32917,33730,32248,35076,31277
4176,32700,33764,32343,35205,31339
4192,32699,33844,32184,35194,31295
4208,32497,33867,32180,35341,31316
4224,32555,33743,32066,35097,31227
4240,32510,33749,31924,35185,31306
4256,32561,33699,31823,35141,31273
4272,32470,33636,31787,35084,30848
4288,32447,33441,31809,34930,30856
4304,32358,33687,31599,34918,30877
4320,32386,33680,31467,34829,30889
4336,32422,33414,31355,34956,30449
4352,32317,33525,31305,34768,30495
4368,32239,33309,31288,34866,30496
4384,32119,33270,31176,34814,30529
4400,32023,33055,31038,34431,30746
4416,32144,32824,30980,34617,30648
4432,32117,32439,31017,34831,30601
4448,32113,32158,30864,34686,30443
4464,32100,32183,30932,34526,30238
4480,31753,32161,30954,34487,30010
4496,31788,32001,30933,34517,29894
4512,31828,32033,30799,34536,29858
4528,31765,32047,30761,34263,29700
4544,31671,31960,30671,34247,29761
4560,31701,31854,30598,33807,29784
4576,31746,31852,30703,33812,29798
4592,31670,31843,30653,33742,29764
4608,31672,31866,30641,33560,29792
4624,31666,31919,30364,33414,29757
4640,31602,32096,30195,33202,29722
4656,31652,32214,30176,33174,29771
4672,31569,32146,30074,32894,29760
4688,31452,31910,30092,32497,29713
4704,31361,32050,29988,32471,29691
4720,31333,32039,29975,32309,29605
4736,31447,32021,29937,32295,29564
4752,31451,31662,29919,32134,29380
4768,31362,31640,29864,32137,29383
4784,31196,31540,29826,32125,29652
4800,31101,31447,29932,31888,29664
4816,30989,31434,29909,31422,29624
4832,30841,31385,29830,31374,29424
4848,30589,31419,29751,31259,29295
4864,30513,31386,29800,31337,29280
4880,30539,31162,29772,31390,29349
4896,30540,30825,29787,31481,29379
4912,30538,30698,29876,31413,29429
4928,30239,30918,29560,31358,29297
4944,30043,30803,29681,31133,29298
4960,30028,30752,29568,31097,29339
4976,29993,30749,29570,31115,29166
4992,29930,30799,29592,30992,29153
5008,29896,30732,29674,30905,29153
5024,30002,30756,29542,30847,29145
5040,29991,30865,29524,30810,29087
5056,29845,30748,29550,30782,29111
5072,29844,30699,29607,30786,29097
5088,29919,30805,29594,30672,29117
5104,29910,30852,29580,30645,29029
5120,29909,30843,29573,30551,29056
5136,29912,30730,29515,30563,28955
5152,29934,30724,29485,30565,28893
5168,29898,30590,29551,30537,28866
5184,29898,30578,29541,30542,28692
5200,29737,30587,29431,30472,28634
5216,29680,30655,29284,30486,28663
5232,29653,30647,29413,30565,28629
5248,29648,30542,29426,30494,28624
5264,29544,30529,29250,30538,28612
5280,29570,30530,29191,30483,28641
5296,29407,30542,29199,30478,28724
5312,29429,30147,29034,30440,28776
5328,29401,30161,28999,30418,28771
5344,29451,30119,28927,30329,28819
5360,29426,30179,28951,30283,28809
5376,29358,30209,28821,30120,28822
5392,29225,30190,28823,30152,28786
5408,29166,30198,28859,30049,28712
5424,29155,30126,28842,29965,28670
5440,29157,30166,28691,29987,28714
5456,29205,29974,28689,29943,28595
5472,29082,29987,28687,29889,28525
5488,29067,29954,28560,29889,28514
5504,28890,29909,28588,29863,28535
5520,28742,29911,28494,29842,28566
5536,28712,29883,28578,29945,28529
5552,28676,29881,28659,29941,28547
5568,28668,29902,28596,29960,28413
5584,28674,29815,28626,29954,28368
5600,28642,29835,28602,29954,28354
5616,28646,29904,28554,29972,28340
5632,28523,29846,28543,29928,28325
5648,28471,29843,28543,29908,28295
5664,28485,29842,28610,29925,28220
5680,28410,29879,28612,29827,28123
5696,28415,29777,28560,29813,28099
5712,28402,29547,28650,29803,28147
5728,28355,29522,28678,29808,28092
5744,28420,29538,28678,29643,28130
5760,28396,29492,28713,29599,28088
5776,28443,29448,28727,29529,28091
5792,28412,29381,28718,29446,28109
5808,28412,29398,28657,29416,28157
5824,28356,29466,28495,29421,28081
5840,28233,29478,28340,29396,28015
5856,28124,29474,28318,29363,28015
5872,28114,29447,28361,29047,27968
5888,28107,29451,28368,29053,27910
5904,28117,29433,28418,28996,27919
5920,28026,29311,28356,28996,27795
5936,28009,29263,28366,28904,27743
5952,28008,29195,28366,28802,27695
5968,27960,29151,28451,28817,27695
5984,27952,29145,28463,28803,27703
6000,27945,29113,28465,28729,27707
6016,27953,29107,28514,28822,27698
6032,27958,29080,28466,28778,27666
6048,27928,28927,28404,28759,27510
6064,27862,28896,28385,28691,27499
6080,27831,28941,28195,28703,27391
6096,27847,28999,28149,28705,27415
6112,27841,28978,28105,28705,27395
6128,27841,28995,28018,28711,27355
6144,27777,29019,27962,28661,27350
6160,27515,28987,27933,28570,27335
6176,27550,28971,27876,28589,27331
6192,27477,28855,27741,28554,27301
6208,27427,28722,27689,28568,27306
6224,27389,28730,27688,28597,27246
6240,27335,28751,27763,28505,27262
6256,27329,28777,27789,28549,27246
6272,27315,28831,27759,28411,27237
6288,27299,28667,27829,28384,27135
6304,27299,28608,27789,28368,27148
6320,27296,28546,27791,28340,27100
6336,27296,28452,27766,28336,27091
6352,27318,28386,27787,28284,27066
6368,27339,28257,27817,28320,27066
6384,27337,28223,27838,28306,27080
6400,27325,28177,27814,28174,27097
6416,27283,28203,27769,28182,27115
6432,27286,28191,27755,28182,27010
6448,27286,28255,27718,28194,27002
6464,27289,28257,27753,28168,27006
6480,27292,28257,27710,28182,27019
6496,27292,28219,27622,28155,27043
6512,27226,28163,27564,28150,27048
6528,27265,28143,27564,28159,27078
6544,27259,28139,27538,28098,27085
6560,27298,28133,27543,28077,27083
6576,27257,28095,27498,28073,27085
6592,27250,28081,27484,28033,27045
6608,27271,28049,27368,28000,26993
6624,27274,28028,27254,27973,26951
6640,27322,27949,27251,27951,26988
6656,27388,27965,27197,27972,26939
6672,27324,27871,27143,27972,26955
6688,27351,27777,27143,27928,26941
6704,27329,27764,27156,27924,26948
6720,27329,27734,27145,27954,26860
6736,27312,27676,27117,27958,26838
6752,27289,27672,27103,27896,26790
6768,27263,27697,27046,27864,26765
6784,27273,27715,26973,27818,26654
6800,27249,27723,27005,27818,26628
6816,27168,27718,26989,27680,26586
6832,27167,27701,26989,27663,26641
6848,27159,27702,26959,27645,26633
6864,27161,27580,26968,27670,26652
6880,27151,27577,26968,27714,26662
6896,27151,27516,26939,27648,26688
6912,27122,27510,26905,27648,26635
6928,27101,27514,26897,27648,26643
6944,27027,27543,26892,27609,26654
6960,27029,27541,26939,27571,26637
6976,27042,27530,26856,27571,26660
6992,27018,27490,26861,27568,26674
7008,27018,27475,26807,27532,26627
7024,26996,27483,26791,27460,26620
7040,27012,27517,26819,27453,26603
7056,27002,27497,26806,27388,26573
7072,27008,27483,26786,27392,26513
7088,27008,27485,26788,27370,26505
7104,26987,27481,26788,27363,26476
7120,27002,27465,26735,27347,26477
7136,27000,27406,26691,27327,26421
7152,26992,27408,26683,27195,26428
7168,26984,27388,26583,27212,26428
7184,26951,27364,26608,27174,26427
7200,26965,27355,26553,27154,26434
7216,26935,27340,26559,27141,26404
7232,26837,27238,26555,27147,26380
